username,password,name,sex,email,mobile,dob,address,jobno
amits2,cW!XvCPg8DOMq,Amit Shukla,M,amits2.@gmail.com,8868759358,1990-06-12,"50, Old Town, Varanasi, Uttar Pradesh - 221006",50
shr26,FVWlURKe5@,Shreya Saxena,F,shr26@yahoo.com,6840957248,1999-03-02,"68, Park Street, Lucknow, Uttar Pradesh - 226025",17
rituk9,DQh12d?Rp,Ritu Khanna,F,rituk988@gmail.com,8732107797,2003-07-19,"223, New Colony, Pune, Maharashtra - 411026",39
deep99,7z3*hkT!,Deepak Dutta,M,deep999@yahoo.com,7691569976,1985-12-19,"172, New Colony, Noida, Uttar Pradesh - 201338",29
kun05,RoHape!*7Uq1,Kunal Saxena,M,kun05.@hotmail.com,9480660781,1975-03-11,"138, Sector 14, Thiruvananthapuram, Kerala - 695011",30
rav65,HCy!7C@3,Ravi Tripathi,M,rav6555@mail.com,9129557055,1972-02-15,"246, Market Road, Kolkata, West Bengal - 700001",39
kartik9,soX!#HqCKQ9O,Kartik Bhat,M,kartik910@yahoo.com,8130224539,1958-09-14,"210, Market Road, Jodhpur, Rajasthan - 342026",9
aish2,s*6RW3!Hk,Aisha Mehta,F,aish2.@yahoo.com,9540089585,1971-04-15,"33, MG Road, Vishakhapatnam, Andhra Pradesh - 530038",3
suni17,8w*#Y7bN3t27@3,Sunita Lal,F,suni17@yahoo.com,6632073568,1987-09-17,"30, Rajiv Gandhi Road, Delhi, Delhi - 110091",17
karans7,tWrA8N@N!a,Karan Shetty,M,karans7.@rediffmail.com,8636516371,1984-12-31,"141, Indira Nagar, Noida, Uttar Pradesh - 201302",28
gaurit24,RX1JnpZb#xqfU4,Gauri Tripathi,F,gaurit24@outlook.com,7195028486,1986-06-20,"157, Indira Nagar, Coimbatore, Tamil Nadu - 641075",36
amrita2,RU8$sftis,Amrita Shukla,F,amrita2@gmail.com,9454249568,1992-02-16,"2, Main Road, Mysore, Karnataka - 570023",27
rupes4,GQlMB*b6ivK,Rupesh Saxena,M,rupes4@outlook.com,8382948470,1989-05-25,"167, Station Road, Chandigarh, Chandigarh - 160076",49
kun11,P03Zs%h$4lhWD,Kunal Joshi,M,kun1188@gmail.com,6343538819,1999-03-31,"40, Phase 1, Bhavnagar, Gujarat - 364015",42
trisha4,iSNZUtxqI?F5#,Trisha Suri,F,trisha4@gmail.com,7747664702,1979-10-30,"170, S V Road, Cuttack, Odisha - 753035",23
aparn7,nZ!v3iJVX$,Aparna Ahmad,F,aparn7@mail.com,7295618485,2000-02-11,"113, Main Road, Mysore, Karnataka - 570010",31
ravikh5,e2?uB0p2?PMKi,Ravi Khanna,M,ravikh534@gmail.com,7251464022,1998-09-25,"176, Civil Lines, Chennai, Tamil Nadu - 600097",41
isha12,tCb?Zi2Nv,Ishaan Iyer,M,isha12@outlook.com,8602685078,1961-08-11,"121, Market Road, Indore, Madhya Pradesh - 452069",12
uma33,Ft$5Vfv%4wDL$,Uma Nanda,F,uma33.@gmail.com,7212840677,1985-11-17,"4, Market Road, Dehradun, Uttarakhand - 248042",8
aish9,*MQ5q$@w4A,Aisha Rangan,F,aish9.@rediffmail.com,9844373989,1979-06-05,"99, Civil Lines, Varanasi, Uttar Pradesh - 221084",21
bhavna9,Ugb!!86jw%ige7,Bhavna Suri,F,bhavna9@rediffmail.com,6262209771,1972-12-04,"77, Rajiv Gandhi Road, Aligarh, Uttar Pradesh - 202003",4
radhik2,vAI2@SQOVmq,Radhika Dutta,F,radhik2.@hotmail.com,8642813425,1984-07-18,"76, MG Road, Aligarh, Uttar Pradesh - 202096",18
din78,03pnr%0Yz3,Dinesh Lal,M,din78.@hotmail.com,9115959828,2001-03-25,"192, Indira Nagar, Nagpur, Maharashtra - 440031",5
pavans37,1zs$rAIZ,Pavan Saxena,M,pavans37@mail.com,6647610091,1979-01-24,"35, Phase 1, Ranchi, Jharkhand - 834046",48
ritu6,67gP*yzLV$t#cE,Ritu Shukla,F,ritu6@rediffmail.com,7072283190,1970-12-25,"139, Ring Road, Jaipur, Rajasthan - 302071",2
roha31,Ee6Eyh%x,Rohan Ghosh,M,roha3159@gmail.com,6984174831,1969-04-28,"160, New Colony, Vadodara, Gujarat - 390057",25
gaurib7,7Du8U9*C,Gauri Bhattacharya,F,gaurib7.@hotmail.com,7640047310,1987-07-29,"32, Phase 1, Jodhpur, Rajasthan - 342036",49
sheet31,M@yh7eD6GtMp,Sheetal Kumar,F,sheet31@yahoo.com,9079053413,1987-02-07,"153, Station Road, Varanasi, Uttar Pradesh - 221081",49
karti6,6hUoJOKx#To,Kartik Gupta,M,karti6@hotmail.com,8307137588,1964-06-19,"221, Old Town, Noida, Uttar Pradesh - 201300",5
parulp62,$A?hF2yEkEV,Parul Prasad,F,parulp6210@mail.com,6517396112,1973-07-26,"40, Shastri Nagar, Rajkot, Gujarat - 360070",50
gauriu95,52yTcF@ROfkEG,Gauri Upadhyay,F,gauriu9542@outlook.com,7948890607,1997-06-03,"134, S V Road, Ludhiana, Punjab - 141013",19
charu57,6TKP!f%c5rkMA,Charu Yadav,F,charu5783@outlook.com,8039371912,1967-01-28,"198, Market Road, Amritsar, Punjab - 143088",3
kaly31,y%W2Q9dXZXqz!?,Kalyani Nambiar,F,kaly31@hotmail.com,6685188272,1971-03-22,"24, Rajiv Gandhi Road, Vishakhapatnam, Andhra Pradesh - 530024",23
yashku33,S#5h#2L0,Yash Kumar,M,yashku3358@gmail.com,6021964721,1979-05-24,"164, Shastri Nagar, Gurgaon, Haryana - 122060",32
hima14,$hmU$L92JyKL,Himanshu Bhattacharya,M,hima1431@mail.com,6773058174,2000-12-06,"47, Shastri Nagar, Solapur, Maharashtra - 413017",30
viv83,Qy71$8nmrZ,Vivek Joshi,M,viv83.@yahoo.com,9637204491,1984-05-10,"27, Station Road, Raipur, Chhattisgarh - 492032",29
amrita4,#cdSC2lt6LUZJ,Amrita Roy,F,amrita4@mail.com,9937553621,1974-09-10,"133, Phase 1, Patiala, Punjab - 147091",50
bhav29,?G?X%32fdl?,Bhavna Tripathi,F,bhav29@yahoo.com,7705385603,2000-12-10,"106, Shastri Nagar, Ludhiana, Punjab - 141045",9
vandan6,EI*05iyO87,Vandana Reddy,F,vandan6.@yahoo.com,8135519167,1988-04-16,"11, Indira Nagar, Varanasi, Uttar Pradesh - 221080",42
